RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020
395057,11,"San Francisco, CA",Msa,CA,500000,560000,581500,600000,590000,557500,549000,564750,557500,539000,529950,540000,592000,621000,620000,630000,630000,630000,607000,616500,605000,586000,565000,595000,650000,663250,678000,670000,660000,650000,631000,640000,667500,650500,630000,640000,650000,700000,720000,740000,720000,680000,665000,697500,700000,677750,638500,681205,728000,775000,761500,771000,760000,748000,735000,775000,780000,750000,705000,763000,820000,844250,855000,866750,825000,800000,777500,820000,800000,764900,710000,764000,786000,835000,850000,841000,800000,780000,775000,822750,800000,785000,748000,759000,825000,830000,825000,860000,899000,915000
394532,12,"Detroit, MI",Msa,MI,118245,124000,130000,139000,149500,150000,146500,144000,140000,140500,137500,134950,136311,145000,150000,155000,159500,160000,155000,150500,147000,146000,144700,135000,146000,150000,160950,164988,165000,170000,162000,155250,150000,155000,150000,144000,153000,160000,169000,175000,176200,174900,168000,170000,164000,167000,157000,155000,160000,175000,179000,187000,183875,184700,175000,180000,172000,175500,165000,165000,175000,175000,188000,193000,190000,190000,181000,179800,176000,176000,167000,170000,179200,180000,199900,204000,200000,200000,199900,190000,189000,186000,179000,179900,195000,204750,186000,205000,222000,223000
395025,13,"Riverside, CA",Msa,CA,237000,242000,245500,254000,255000,253750,260000,260000,261000,271500,265000,269500,275000,275000,281975,283000,280000,279000,275000,278000,291250,290000,270000,295000,295000,295000,300000,303000,303000,300000,300000,300000,305000,310000,299900,305000,316000,317000,320000,320000,325000,320000,325000,319000,325000,333000,320000,330000,337500,340000,340000,350000,350000,349000,348000,345000,350000,355000,350000,365000,362000,365000,370000,370000,370000,360750,369000,362000,367500,368000,360000,369000,373000,375000,372750,374993,376000,375000,375000,375000,372000,375000,375000,385000,389000,380000,388000,399000,409636,415000
394976,14,"Phoenix, AZ",Msa,AZ,183000,185000,190000,195000,197000,194500,198000,200000,198000,202000,197500,195594,201000,200000,204000,210000,205000,209600,204800,207000,205000,212128,206000,210000,210000,210000,220000,220000,220000,220000,221625,222900,225000,229000,222000,225500,225000,229976,235000,238000,230434,238000,242000,240000,243000,244925,236697,242080,242500,242000,250000,255000,250000,255000,253347,256000,256950,257705,255000,265000,264000,260000,271268,273551,271570,271588,274900,274000,275000,277500,273213,275000,275000,280000,288285,285875,286808,290000,291330,295500,295000,299000,295000,299500,304000,300000,299900,308200,315000,327000
395078,15,"Seattle, WA",Msa,WA,299950,310000,325000,325000,335000,328540,325280,325000,319994,319950,305000,315280,318000,329925,333000,346000,342000,337080,335000,332000,335000,336000,329950,333720,350000,354975,360000,373480,360172,369975,356000,358719,355000,355000,352000,356000,370000,375389,393989,400000,400000,399950,394250,393500,400719,404950,383260,400119,410800,434000,442000,450000,445000,442000,445000,443872,449694,458000,435000,464719,475000,499000,490500,489950,479719,468000,460000,458250,464110,463938,446154,475000,491100,483000,495000,486000,485000,489000,475000,485000,480000,499000,475000,499000,517500,523750,500000,531505,541700,525000
394865,16,"Minneapolis-St Paul, MN",Msa,MN,180500,184900,195000,209000,210900,210000,205000,205000,204000,206000,199999,199000,201500,207000,212500,221515,216363,219900,210000,210000,210000,211000,201579,208000,216000,222500,226000,229000,227700,227000,225000,218000,227000,224900,216000,219900,222000,229900,236000,240000,239000,240000,232500,235000,235000,230000,225000,226666,235738,243000,246900,256000,251000,254900,248000,243500,246967,249900,243706,250000,257000,258000,265000,265000,265000,264000,262500,265000,267500,262726,259000,264900,276000,279900,285000,286959,284900,285000,280000,279995,283000,279900,272900,280000,295000,305000,299500,300000,310000,315000
395056,17,"San Diego, CA",Msa,CA,395000,411000,425000,426500,430000,420000,427750,420000,423500,427750,418000,419000,435000,442000,448057,455000,452000,451500,455000,449000,435000,445000,445000,450000,460000,460000,465500,482000,475250,474000,465000,462500,480000,482000,475000,460000,480000,496000,499000,499000,500250,500000,505000,520000,500000,503000,500000,500000,525000,528000,535500,550000,545000,543250,540000,535000,550000,550000,535000,545000,560000,575000,577000,580000,585000,590000,582500,570000,585000,565000,565000,567750,575000,580000,580000,597000,580000,590000,572000,580000,593000,575000,590000,600000,592000,600000,590000,605000,635000,645000
395121,18,"St. Louis, MO",Msa,MO,147000,150000,153000,166000,164000,160000,155240,155500,152000,155000,149816,142000,146900,152000,160000,171000,165000,162000,155000,157500,155000,155000,146000,149900,155000,156000,165000,171000,169000,167450,160729,160000,155950,159700,152000,150000,160000,163600,174900,182000,173895,171000,167350,169500,165000,169000,164950,163000,167900,170260,179700,185000,185000,177500,180000,172500,178000,176000,165000,172000,175000,181000,189000,192000,188340,186000,179814,175610,175000,183000,175000,173500,179900,182000,195000,205000,194900,197700,185000,189500,188640,187200,180950,176000,187500,195000,210000,207000,215000,214900
395148,19,"Tampa, FL",Msa,FL,144500,138000,149500,160000,160600,160000,157500,156800,154950,163000,149000,149000,157874,155000,165000,169500,170000,170000,167500,171600,164000,170000,160000,162000,170000,170250,175000,182000,184825,176700,182000,175000,175000,182000,170000,175000,180000,185000,189900,195945,193300,195000,189990,190000,194500,199000,188000,190000,198800,199000,206000,213000,213850,210000,210000,205000,214900,214900,205500,210000,217500,217800,220000,229900,225000,223950,225000,220000,227000,229900,220000,223700,225000,225000,228900,235000,235000,235000,233000,232250,233500,240000,230000,234900,240000,247900,246062,252000,257500,260000
394358,20,"Baltimore, MD",Msa,MD,245000,266000,267000,275000,290000,280000,285000,275000,278900,275990,263563,250000,266250,279250,282000,297000,284744,285033,279900,280000,274900,277900,278265,274995,270363,279900,279700,290000,310000,275000,280000,269000,264900,284990,263000,261500,272250,279950,290000,305000,304000,290000,288000,288000,273000,275000,270000,260000,265000,282250,290000,297500,299990,287500,285000,285000,282000,283750,274920,261000,279000,289999,292000,300000,305000,300000,299900,296071,297250,292000,277000,282100,285000,292700,300000,310000,318708,302751,302860,300000,295000,299900,280000,285000,299000,313000,304900,303000,315000,325000
