DATE,MORTGAGE30US
1/2/2020,3.72
1/9/2020,3.64
1/16/2020,3.65
1/23/2020,3.6
1/30/2020,3.51
2/6/2020,3.45
2/13/2020,3.47
2/20/2020,3.49
2/27/2020,3.45
3/5/2020,3.29
3/12/2020,3.36
3/19/2020,3.65
3/26/2020,3.5
4/2/2020,3.33
4/9/2020,3.33
4/16/2020,3.31
4/23/2020,3.33
4/30/2020,3.23
5/7/2020,3.26
5/14/2020,3.28
5/21/2020,3.24
5/28/2020,3.15
6/4/2020,3.18
6/11/2020,3.21
6/18/2020,3.13
6/25/2020,3.13
7/2/2020,3.07
7/9/2020,3.03
7/16/2020,2.98
7/23/2020,3.01
7/30/2020,2.99
8/6/2020,2.88
8/13/2020,2.96
8/20/2020,2.99
